tconst,averagerating,numvotes,directors,writers
tt7372916,6.7,2991,nm0877078,nm0877078
tt7398750,3.1,128,nm3456466,nm6958582
tt7413530,7.1,123,nm7279813,"nm7279813,nm9295459"
tt7420292,8.2,13,"nm5324157,nm4012586","nm4012586,nm5324157"
tt7422034,8.2,5,nm2219135,nm2219135
tt7444808,7.9,44,nm9310440,"nm9310440,nm9310441"
tt7454396,7.5,13,nm8481971,"nm8481971,nm7601000"
tt7465992,8.7,6917,nm5645455,"nm5645455,nm7339980"
tt7469972,6.0,351,nm0946875,nm0946875
tt7473040,7.0,8,nm0421817,nm0421817
tt7475428,6.5,6,nm9325979,nm9325979
tt7475710,8.5,68,nm2384917,nm2384917
tt7476116,7.0,4163,nm0500976,"nm1132407,nm0483451,nm0500976"
tt7488036,6.6,154,nm2382037,"nm2605642,nm8151512"
tt7501144,3.3,104,nm5665870,"nm9339115,nm9339114,nm9081415"
tt7502350,8.3,18,nm1353716,nm1353716
tt7509680,6.7,7,nm9342648,"nm4739921,nm2233898"
tt7513016,5.7,20,nm0280396,"nm0280396,nm2855337"
tt7514902,5.6,5,nm3204396,nm3204396
tt7520532,5.5,142,nm1767417,nm8706021
tt7529360,5.6,74,nm2853253,nm2853253
tt7531990,4.7,1004,nm2320363,"nm2320363,nm4195211"
tt7537960,6.4,158,nm5411339,nm5411339
tt7543930,7.3,595,nm0380831,nm0380831
tt7548378,5.7,45,nm3980941,nm3980941
tt7548896,4.5,58,nm5716506,nm5716506
tt7551198,6.1,21,nm0746211,nm0746211
tt7551562,7.3,15,nm1100592,nm1100592
tt7578946,7.7,98,nm6128510,nm6128510
tt7585540,5.2,288,nm8041397,nm8041397
tt7603636,6.9,58,nm4823715,"nm6810553,nm4823715"
tt7607518,6.0,5,nm9143428,"nm9156957,nm9143447,nm9158285,nm9402129"
tt7612554,6.8,17,nm5661312,"nm9405423,nm5661312"
tt7619844,5.2,5,nm6662806,"nm0008692,nm6662806"
tt7626082,6.5,23,nm7318017,"nm7318017,nm9413986,nm7844330,nm9413985"
tt7627646,9.1,25,nm10322559,nm1857004
tt7639694,5.6,543,nm2545504,nm9441824
tt7654730,7.0,6,nm9421802,"nm9425202,nm8358337"
tt7662118,7.5,22,nm7360351,"nm7360351,nm7360358,nm7450322"
tt7672714,3.4,37,"nm5563914,nm8234580","nm5563914,nm6696647"
tt7674258,9.0,6,nm0996502,"nm1467905,nm0996502,nm0679727"
tt7678408,5.2,56,nm1379896,nm9447179
tt7683696,7.3,280,nm3849565,nm3849565
tt7688988,5.9,63,nm1932988,nm1932988
tt7689532,8.3,15,nm1651732,nm1651732
tt7700814,5.0,5,nm5931066,nm5931066
tt7701650,5.4,11,nm0068874,nm0068874
tt7719976,7.7,760,nm0579766,nm0579766
tt7741984,8.3,6,nm9483978,nm9483978
tt7756082,5.7,309,nm9490928,"nm6649966,nm5567731"
tt7757746,8.0,5,"nm6368962,nm6353344",nm1237859
tt7763752,6.8,12,nm5297133,nm5297133
tt7767640,7.6,10,nm5484518,nm5484518
tt7772412,7.7,160,nm8730481,"nm9577823,nm9580448,nm2790313,nm8341271,nm5080554,nm3482223,nm8730481"
tt7790898,7.4,272,nm7578157,nm7578157
tt7798984,8.1,15,nm8631698,"nm8631698,nm9543960"
tt7842086,5.2,6,nm0885536,nm0885536
tt7845882,9.2,13,"nm9540206,nm9540205",nm9540206
tt7853186,7.2,13,nm9543791,nm9543791
tt7861586,7.0,25,nm6057734,"nm6057734,nm8602267"
tt7882104,6.0,454,nm0764367,"nm0193153,nm1148346"
tt7893416,4.9,109,nm0409561,"nm0409561,nm1739729"
tt7897432,5.6,365,nm5394260,nm5394260
tt7899260,6.7,13,nm8896351,"nm8896351,nm9568552"
tt7901878,5.9,67,nm0890394,"nm0023764,nm0890394"
tt7922976,7.0,236,"nm1554735,nm1983733","nm1554735,nm1983733"
tt7925418,8.7,85,nm3736242,nm7050715
tt7946548,7.1,12,nm5693558,nm5693558
tt7951272,6.3,18,nm9598610,"nm9598611,nm9598610"
tt7964626,1.5,25,nm9605999,nm9605999
tt7974128,8.3,7,nm3875813,"nm3875813,nm8736138"
tt7974156,8.5,6,nm1995841,"nm3363398,nm3577911"
tt7976208,3.1,1073,nm0268107,nm0268107
tt7990058,6.0,140,nm0523665,nm0523665
tt7996560,6.2,100,nm9623401,nm9623401
tt7998110,5.9,33,nm9624320,nm9624320
tt8009578,5.0,145,nm3198149,"nm1030493,nm4081171,nm3198149,nm4161521"
tt8033428,7.4,607,nm3797575,nm3797575
tt8034378,4.8,165,nm2853542,"nm5055462,nm2853542"
tt8043092,7.8,973,nm1990335,nm1990335
tt8050598,4.1,82,"nm7488348,nm0076780,nm7109429,nm5405354,nm0556573,nm4064236,nm4065475,nm3708936,nm1402203,nm2404908","nm7109429,nm3708936,nm2404908,nm1402203,nm4065475,nm4064236,nm5405354,nm0806002,nm3221038,nm7488348"
tt8053302,6.0,273,nm0848881,nm0848881
tt8072746,7.8,29,nm1905861,nm1905861
tt8076266,7.1,338,nm1266812,"nm1345541,nm9664560,nm8531081,nm9106681"
tt8093952,6.4,582,nm2380725,nm2380725
tt8094252,7.1,1800,nm1421754,nm1421754
tt8105846,5.8,108,nm3708936,nm3708936
tt8106568,8.2,558,"nm3104562,nm1905310","nm1905310,nm3104562"
tt8110662,6.8,57,nm1604976,"nm1604976,nm0738925"
tt8115300,6.4,367,"nm0573710,nm1109397",nm0573710
tt8119844,5.5,192,nm5831893,nm5831893
tt8142536,9.1,22,nm5954636,nm5954636
tt8157400,6.6,94,nm0267393,"nm5055462,nm0267393,nm2171689"
tt8167820,6.1,15,"nm9712336,nm1948191","nm1948191,nm9712336"
tt8190820,3.8,56,nm6319094,nm6319094
tt8251336,6.8,13,nm2571065,nm2571065
tt8320406,4.5,117,nm0479586,nm0479586
tt8331988,7.1,147,nm3569165,"nm3569165,nm9796962"
tt8344532,5.6,238,nm0440269,"nm0440269,nm6579579"
tt8363908,2.6,68,"nm4341114,nm1548648","nm9060017,nm6409721"
tt8365432,3.2,222,nm5067081,"nm7819687,nm6911938,nm7775044"
tt8393764,6.6,89,nm8519686,"nm8421390,nm8421389,nm1855130,nm10047984"
tt8396236,7.3,251,nm9829519,nm9829519
tt8396306,7.7,62,nm7932641,nm7932641
tt8398244,5.2,13,nm1565392,"nm4430320,nm4430515"
tt8422594,6.8,22,nm2702769,"nm2702769,nm3954268"
tt8427708,8.3,40,nm9845089,nm9845092
tt8479688,5.8,13,nm6901818,nm6901818
tt8483272,6.4,43,nm1634997,"nm1636161,nm0391340"
tt8487988,7.7,22,nm6637476,"nm6637476,nm9874154"
tt8506788,6.5,157,nm1195064,"nm1195064,nm1434007,nm1110703"
tt8507312,3.7,28,nm2509927,"nm2393339,nm2509927"
tt8510350,8.5,15,nm2854747,"nm0313295,nm1884371"
tt8545356,8.2,6,nm6032154,"nm6032154,nm3642840"
tt8571242,5.1,7,nm2711727,nm7110182
tt8581366,7.6,553,nm6567539,"nm6567540,nm6567545,nm6567539"
tt8590896,7.8,5703,nm1762795,nm1762795
tt8596716,7.5,39,nm0200436,nm0200436
tt8612678,8.2,30,nm3950093,nm3950093
tt8619976,5.6,7,nm8093993,nm9935662
tt8620646,4.7,434,nm1414579,nm4316187
tt8650030,5.6,116,"nm10375022,nm9947061","nm9831754,nm9947061,nm9947062"
tt8655470,7.2,13,"nm0865918,nm0619923","nm0619923,nm0865918"
tt8660842,4.7,161,nm0539354,"nm0006803,nm0761808"
tt8666442,7.2,42,"nm0535049,nm2012534","nm7845701,nm1823835,nm0535049"
tt8680096,7.4,9,nm3816006,nm3816006
tt8682096,5.5,122,nm0111588,"nm1650373,nm4901594"
tt8696440,7.2,763,"nm1577474,nm1597572","nm1597572,nm9967860,nm1577474"
tt8720458,5.1,308,"nm6154724,nm5408538","nm6154724,nm5408538"
tt8725958,6.8,311,nm0393254,nm0393254
tt8773700,3.7,104,"nm3291194,nm1116914,nm5823481,nm4765043","nm5823483,nm3291194,nm1116914,nm3228920,nm4765043"
tt8785154,6.2,164,nm3792294,nm7734800
tt8787226,6.7,6,"nm7245761,nm8682971","nm7245761,nm8682971,nm5152243,nm1773682"
tt8791476,5.9,19,"nm6935209,nm8084129,nm8860051,nm3283609,nm10465781,nm6061913,nm5075359,nm4341114,nm10172914,nm10172907,nm2706291,nm3810161,nm4106347,nm8513504,nm1554712,nm9731877,nm5934788,nm3153264,nm9422963,nm9671996,nm3051438,nm6078996,nm7307458,nm5571414","nm8860051,nm3283609,nm4106347,nm8513504,nm6935209,nm9671996,nm3051438"
tt8822370,4.8,61,nm2318264,"nm8639804,nm9633320,nm1729447"
tt8828278,4.7,29,nm7986571,nm7986571
tt8844480,5.6,5,nm3729477,nm6576882
tt8847574,8.2,14,nm10050308,nm10050308
tt8855948,6.9,12,nm2036003,"nm5942686,nm5611351"
tt8869484,6.1,10,nm0201949,nm0201949
tt8896670,6.9,102,nm3379741,"nm1335664,nm3379741"
tt8919108,7.5,6,nm10084271,"nm9688585,nm10084271,nm7815570"
tt8936904,5.3,6,nm8691690,nm10092682
tt8938900,8.6,17,"nm10093672,nm10093671","nm10093671,nm10093677,nm10093678"
tt8948974,6.0,26,nm6133065,"nm5504899,nm6133065,nm1550375,nm4972432"
tt8951058,7.2,488,nm0935664,nm0935664
tt8968758,6.6,39,nm1391054,nm1391054
tt8969962,1.7,6,nm8860051,nm8860051
tt9026024,1.5,353,nm8509500,"nm10526544,nm8509500"
tt9028218,5.3,123,nm0897433,"nm1307222,nm1735344,nm0580795"
tt9030752,6.3,6,nm0529615,nm0529615
tt9041212,6.1,10,nm6385596,"nm6385597,nm6385596"
tt9045270,6.4,15,nm6373338,nm6373338
tt9061412,8.1,15,nm10158092,nm10158092
tt9089992,6.7,6,nm4976599,nm10183191
tt9098914,6.3,32,"nm0000485,nm1822315","nm7698490,nm0462259,nm1822315"
tt9105556,5.6,8,nm9647946,nm10181119
tt9129726,6.3,7,nm0173101,"nm0173101,nm10190935"
tt9150970,5.3,1930,nm0846590,"nm7163376,nm8072957,nm0846590,nm10263034"
tt9220746,6.1,10,nm10237922,nm10231913
tt9297624,7.5,39,nm10420244,nm3183045
tt9297632,6.5,17,nm7319949,nm10268299
tt9319884,7.4,428,"nm10493873,nm0890060","nm10493876,nm0890060"
tt9352426,8.6,8,nm10289688,"nm10289690,nm10289691,nm6030053"
tt9364210,5.7,33,nm0739117,nm3405540
tt9390254,8.2,97,nm4417706,nm8423987
tt9420744,7.1,8,nm0559285,nm10318913
tt9448284,6.9,16,nm6258052,nm10331314
tt9449962,8.3,39,"nm5898626,nm6485055","nm5898626,nm6485055"
tt9541602,7.2,1178,nm4998869,nm10446542
tt9590916,7.7,10,"nm1031332,nm3565330","nm3565330,nm1060236,nm9112740,nm9877412"
tt9613316,6.8,30,nm0125887,"nm0125887,nm7664209,nm0455259"
tt9615068,8.1,11,nm5428555,"nm5598586,nm0398551,nm5428555"
tt9626278,6.7,74,nm1908524,nm1908524
tt9685652,1.3,108,nm2483722,nm2483722
tt9689370,9.5,62,nm5853383,nm5853383
tt9860860,8.6,5,"nm4591469,nm10514359","nm4591469,nm10514359"
tt9863566,5.6,31,"nm3972168,nm3978114","nm4889597,nm0881710"
tt0800320,5.8,256176,nm0504642,"nm2012438,nm0006534,nm0542062,nm0189117"
tt0804463,6.1,18716,nm0000382,"nm0090199,nm0220600,nm2268286"
tt0829176,3.6,6793,nm0331777,"nm0714199,nm0331777"
tt0840361,7.6,322524,nm0000255,"nm0185976,nm0000255,nm0830760,nm2353561"
tt0859635,6.1,20104,nm0151540,"nm0151540,nm0373571,nm0501399,nm0815418,nm0831479"
tt0902247,7.0,99,nm1702656,nm1702656
tt0970866,5.5,99222,nm0919369,"nm0357453,nm0836001,nm0322839,nm0164898"
tt0974015,6.5,329135,nm0811583,"nm0796950,nm0795975,nm0006516,nm0811583,nm0923736,nm1189346,nm0004170,nm0277730,nm0551376,nm0456158"
tt0993842,6.8,179178,nm0942504,"nm2605946,nm1016333"
tt1016226,4.8,66,nm2132261,"nm0008765,nm2631031"
tt10214842,2.6,189,nm1213790,nm2454599
tt10231478,7.2,6,nm9208027,nm9208027
tt10238816,7.8,12,nm1114245,nm1114245
tt10276706,3.6,46,nm8354173,nm8354173
tt1027873,3.6,366,nm0940326,"nm2095027,nm2394985,nm0920543"
tt1032751,6.3,24271,nm2788363,"nm2788363,nm0721944"
tt10332428,5.6,7,nm1989107,"nm2541420,nm1989107"
tt1093357,4.9,55071,nm0329755,"nm3123612,nm0092018,nm2761113"
tt1109582,3.7,309,nm0911477,"nm1084898,nm0911477"
tt1109594,5.2,380,nm1759031,nm1759031
tt1121096,5.5,66565,nm0091076,"nm0495378,nm1140275,nm0338557,nm2796716"
tt1129404,6.3,161,nm0841959,nm2260865
tt1130092,6.3,11,nm0129098,nm0129098
tt1147681,4.7,129,nm2360222,nm0312905
tt1169164,5.7,23,nm2728497,nm2728497
tt1172991,6.8,41139,nm0920274,nm0920274
tt1183930,7.1,15,nm2919374,nm2919374
tt1198199,6.5,287,"nm0752749,nm1658166",nm1658166
tt1209368,3.6,16,"nm0994509,nm1646305","nm0994509,nm1646305"
tt1212434,6.6,39,nm0510738,nm2973161
tt1214993,6.4,9,nm0194846,nm0194846
tt1226837,7.3,30368,nm0886976,"nm1729294,nm0886976,nm2997310,nm2996954"
tt1230204,6.1,6310,"nm0823721,nm0562775","nm0823721,nm0661549"
tt1243946,7.0,24,nm2133971,"nm3025210,nm2133971"
tt1245098,7.5,20,"nm0086536,nm4741835,nm0272560,nm1761317,nm0625932","nm0272560,nm0086536"
tt1253851,6.8,21,"nm3059841,nm3059149","nm3059841,nm3059149"
tt1259227,5.8,948,nm1272462,nm3068118
tt1260597,7.6,7,nm1829146,"nm1829146,nm1587478"
tt1274296,7.1,4343,nm1880390,nm2092917
tt1274300,5.4,7073,nm0853380,"nm0853380,nm0000636"
tt1284575,5.7,181189,nm0440458,"nm1969144,nm1072409"
tt1304621,6.7,9,nm2566568,nm2566568
tt1305147,8.9,31,nm1786171,"nm1230234,nm3157708,nm1786171,nm1457543"
tt1307859,6.2,1640,nm0892400,nm0892400
tt1316072,7.6,346,nm2654633,nm2654633
tt1319730,7.0,56,nm2381139,nm2381139
tt1323917,3.5,607,nm0578899,nm1671966
tt1326201,6.8,68,nm0003458,nm0003458
tt1340799,6.8,307,"nm3244731,nm3246780",nm3246780
tt1341341,5.5,3951,nm0935253,nm0935253
tt1341710,5.6,12551,nm1394062,"nm1394062,nm3135723,nm2033655"
tt1342120,7.5,52,nm9978107,"nm9978107,nm0714872"
tt1354687,6.0,401,nm0560697,nm0560697
tt1365048,4.4,2293,nm4029670,"nm0803314,nm2734866,nm4026430"
tt1376427,6.6,50,nm3326936,"nm3326936,nm4388783"
tt1381413,5.1,1061,nm0734319,"nm0170462,nm0734319"
tt1381505,5.8,7906,nm1401857,"nm0006790,nm1401857"
tt1382727,4.5,358,"nm2677451,nm1356227","nm0000940,nm1356227,nm2975616,nm1622364,nm2536997,nm2201717,nm2698809,nm0210932"
tt1388776,4.4,24,nm1441193,nm1441193
tt1400558,5.4,322,nm0757081,nm1120067
tt1401631,4.7,320,nm0483053,nm0483053
tt1403988,5.1,11069,nm0630633,nm0630633
tt1407061,5.9,12466,nm1065402,nm0254288
tt1408061,3.7,100,nm3303410,nm3393869
tt1414494,7.7,79,nm2806693,"nm2679404,nm2804902"
tt1424866,8.2,14,nm3254617,nm3418132
tt1427298,5.3,10126,nm0396426,nm0396426
tt1429432,4.8,632,nm0636506,nm0636506
tt1430612,5.7,37528,nm0216214,"nm0000108,nm1098947,nm3375122"
tt1438466,6.6,342,nm0296144,nm0296144
tt1438535,5.8,2311,nm0000419,"nm3061127,nm2034269,nm4677631,nm1363261,nm1104986,nm0239286,nm0320824,nm0000419,nm0765683,nm0850368,nm0901976"
tt1453428,4.5,172,nm1642495,"nm3498386,nm3487895"
tt1454700,7.1,565,"nm2674916,nm3225249",nm3225249
tt1457767,7.5,397233,nm1490123,"nm0370937,nm0370928"
tt1461219,8.2,20,nm1030148,"nm0306914,nm1030148"
tt1464606,5.6,818,nm1439346,nm2946574
tt1465488,3.6,18,nm3054406,"nm3054406,nm3133679"
tt1465847,6.9,7,"nm3172490,nm3149229",nm3149229
tt1466058,6.4,78,nm2429415,"nm2042477,nm2429415"
tt1468727,3.7,275,nm0876030,"nm1044435,nm0876030"
tt1483013,7.0,453966,nm2676052,"nm2244980,nm1578335,nm2676052"
tt1485749,7.2,3361,nm0011470,"nm0011470,nm3568152"
tt1486186,5.8,115,nm0610261,"nm1548789,nm3559532,nm3688305"
tt1498565,3.6,11,"nm2163364,nm0930396","nm2163364,nm0930396"
tt1502417,4.3,1327,"nm2599595,nm0188601","nm1615318,nm5683348,nm6117216,nm3470753,nm2878737"
tt1504354,5.5,92,nm0002989,"nm0486610,nm0002989"
tt1506459,3.9,854,nm0253440,nm0253440
tt1506965,5.4,479,nm0887511,"nm3710190,nm0887511"
tt1507563,4.3,7682,nm0007082,"nm0159892,nm3602980"
tt1507566,5.3,165,nm1885641,nm1885641
tt1509787,6.6,2752,nm1591542,"nm1591542,nm0762424"
tt1512888,7.7,2819,nm1421754,nm1421754
tt1513907,7.6,62,nm2805568,"nm2805568,nm2858798"
tt1514044,4.5,88,nm3620699,"nm3620699,nm3223034"
tt1517152,7.9,9,nm3625406,nm3625406
tt1518812,6.6,10439,nm0716980,nm1299680
tt1520498,6.0,14723,nm0224683,"nm1753845,nm1754690,nm2349218,nm2355422"
tt1523979,7.1,209,nm2053765,nm3635850
tt1531697,4.8,127,nm2785298,nm2785298
tt1534000,6.9,135,"nm4259950,nm3325510",nm3325510
tt1536445,6.9,206,"nm1339474,nm3225249","nm2674916,nm3225249"
tt1540996,6.6,205,nm3551560,nm3551548
tt1541160,6.4,30352,nm0591450,"nm0524190,nm0601859"
tt1541874,5.6,8251,nm1827931,nm1827931
tt1546992,7.1,57,nm2670854,nm2670854
tt1547230,4.3,2674,nm0776271,"nm0915291,nm3696683"
tt1548926,6.8,23,nm1350158,nm1114943
tt1557629,5.2,9,nm1887023,nm1887023
tt1558250,7.7,9940,nm1068198,nm1068198
tt1559027,4.3,179,nm0024521,nm0024521
tt1562928,3.1,716,nm0004152,"nm0366594,nm1628499,nm0004152"
tt1563742,5.9,25607,nm0338576,"nm1462097,nm0338576,nm0228908"
tt1564353,8.1,10,nm2677356,"nm3740841,nm2677356,nm3576903"
tt1564916,5.7,1952,nm0764367,"nm0193153,nm0754467"
tt1566645,6.4,66,nm0044466,"nm3107990,nm0044466"
tt1568339,4.9,469,nm0646409,"nm1527317,nm0905099,nm1681077"
tt1568798,2.8,244,nm2776253,nm1761677
tt1568863,6.0,128,nm1492984,"nm1768265,nm1492984"
tt1569488,6.0,121,nm0866695,"nm2470945,nm0866695"
tt1572962,6.0,496,nm0879301,nm0879301
tt1577064,3.5,283,nm0694137,nm0694137
tt1578261,5.2,3651,nm1538135,"nm1538135,nm1318670,nm1149334,nm3065956"
tt1580426,5.8,5936,nm0078762,nm0647592
tt1582225,5.3,58,nm2504314,nm2504314
tt1582248,6.9,21540,"nm0440859,nm0440860","nm3754817,nm0519802,nm0858008"
tt1582447,7.1,8,nm1402126,nm1402126
tt1582551,6.9,27,nm1759159,nm1759159
tt1583953,3.6,7,"nm0033009,nm3759613",nm3759613
tt1585272,6.7,331,"nm2747173,nm0878756",nm3770120
tt1587310,7.0,305832,nm0834902,"nm0941314,nm0674518,nm0052520,nm0382548,nm0670328,nm0672093,nm0727370,nm0780799,nm0942723"
tt1587865,8.4,10,nm3774141,nm3772794
tt1588342,6.2,6682,nm0619836,"nm2536305,nm0083772,nm0619836,nm1372450,nm3132669"
tt1589410,7.8,51,nm0905570,"nm2160301,nm0905570"
tt1589474,5.3,54,nm1302696,"nm0691892,nm1302696"
tt1589505,5.7,128,nm2986811,nm1532982
tt1590238,7.3,7,nm3777612,nm3777612
tt1590984,4.1,31,nm1294529,nm3088984
tt1592139,4.8,294,"nm0786755,nm0631349","nm0487582,nm0786755"
tt1593711,7.2,32,nm3575376,"nm3575376,nm3120955,nm3612552,nm3612264"
tt1595021,8.8,20,nm3373940,nm3373940
tt1596343,7.3,329892,nm0510912,"nm0604555,nm0860155"
tt1598784,6.8,32,nm2563871,"nm2792671,nm2563871"
tt1600524,7.2,24426,nm0230859,nm0230859
tt1601845,4.8,249,nm2463111,"nm3809154,nm0751828,nm3811006,nm3808854"
tt1602474,5.7,406,"nm1523673,nm0946995,nm0874676","nm0946995,nm0874676,nm3562076,nm0948134,nm1429767"
tt1602572,7.4,1594,nm0492288,nm0492288
tt1603257,4.7,21608,nm3360080,"nm2133655,nm0864128"
tt1603786,6.8,141,"nm0315916,nm1907554","nm1907554,nm0315916"
tt1606829,8.4,3332,nm2101256,"nm2101256,nm2011715"
tt1607598,7.5,13,nm3421621,nm3421621
tt1609158,5.3,174,nm3465831,nm1149214
tt1611823,6.6,818,"nm0151121,nm0477213","nm0151121,nm0477213,nm3018849"
tt1612611,3.3,453,nm3085237,nm3085237
tt1613047,5.0,19,"nm2889264,nm2889836",nm2893495
tt1615025,4.6,14,nm0958766,nm0148859
tt1615153,6.2,45,nm0101453,nm0101453
tt1615156,6.9,400,nm1974091,nm1974091
tt1616092,6.6,99,nm1989193,nm1989193
tt1617123,6.6,54,nm0157337,"nm0157337,nm4117835,nm4116956"
tt1617244,6.4,21,nm3837756,"nm0311229,nm3837756,nm1149246"
tt1619599,5.5,24,nm3842171,"nm3842171,nm3843319,nm3842218"
tt1620599,6.7,9,nm0182724,nm0182724
tt1623205,6.3,192045,nm0000600,"nm0438449,nm1865755,nm0000875"
tt1623757,7.4,1445,nm0366867,"nm0366867,nm1441953"
tt1625346,6.3,74071,nm0718646,nm1959505
tt1629284,7.1,915,nm2391552,nm0948913
tt1629705,6.6,8553,nm0317834,nm0057774
tt1629718,5.9,849,nm0630197,nm2939957
tt1632703,7.4,820,nm1619378,nm1619378
tt1635657,5.7,284,nm1039140,"nm3328052,nm1039223"
tt1636422,6.6,65,nm0319772,nm0319772
tt1636813,6.5,51,nm1384379,nm1384379
tt1637674,4.2,37,nm1662708,nm1662708
tt1637681,6.8,267,nm2357225,"nm1670033,nm1503355"
tt1638308,6.4,145,nm0083641,nm3877300
tt1638310,7.8,5,nm1949340,"nm1949340,nm3885159"
tt1639901,6.7,1370,nm0757958,nm0757958
tt1640123,6.1,24,"nm3139556,nm0936648","nm3139556,nm0936648"
tt1641401,6.0,990,nm0003745,nm5699752
tt1645134,6.3,116,nm3008853,nm3008853
tt1646979,6.5,369,nm0008332,"nm1097407,nm0008332"
tt1648200,8.4,8,nm3399868,"nm2716236,nm2225300,nm3892867,nm3399868"
tt1648203,7.2,5,nm0345169,"nm0345169,nm0770743"
tt1650535,6.2,6000,nm0005616,"nm1474331,nm8357383"
tt1652380,7.6,5,nm0852110,"nm0852110,nm3909686"
tt1653028,6.7,17,nm3159935,"nm3907351,nm3159935"
tt1653064,3.9,110,nm3267846,nm3267846
tt1655603,6.6,30,nm3324251,nm3324251
tt1655608,7.1,20,nm1141845,"nm0010383,nm1141845"
tt1656701,6.5,87,nm2246780,nm2246780
tt1657507,6.4,87659,nm0576298,"nm0000108,nm0436543"
tt1662534,3.9,406,nm3319315,nm3319315
tt1664775,4.6,54,nm3941893,nm3941893
tt1665744,1.2,154,nm1448482,nm2317419
tt1666824,5.7,26,"nm2360873,nm1097181",nm1097181
tt1669846,7.2,19,nm3942301,nm3942301
tt1670387,4.2,145,nm2728951,"nm2961565,nm2728951"
tt1671669,5.7,26,nm1071913,nm1071913
tt1673537,7.8,10,nm3948770,nm3949331
tt1674098,6.0,432,nm1346947,nm0237854
tt1674740,7.9,66,nm0874358,"nm0006888,nm0728901,nm0874358"
tt1677548,8.1,14,nm2748955,"nm0495187,nm2748955,nm1042563"
tt1677586,6.4,15,nm1480852,nm1480852
tt1680667,7.8,5,nm3968274,nm3968274
tt1683921,6.7,4238,nm0418621,"nm0418621,nm0754256,nm0235502"
tt1684609,6.6,321,nm3559783,"nm3568582,nm3559783"
tt1686898,5.3,6,nm2510963,nm2510963
tt1690235,6.2,5,nm3029012,nm3029012
tt1690389,6.4,1266,nm0720297,"nm0720297,nm0004124,nm0030478"
tt1691020,3.7,312,nm0650344,"nm3987527,nm0650344"
tt1691866,7.1,23,nm0688096,nm0019604
tt1691926,6.5,48,nm1823202,nm0166420
tt1692831,6.0,6,nm3992531,nm3992531
tt1693830,6.7,2015,nm1922735,"nm2696110,nm9350984"
tt1693968,8.6,7,nm1637654,nm1637654
tt1695991,6.3,138,"nm0286557,nm1036574","nm0286557,nm1691207"
tt1696535,6.3,1035,nm2482152,"nm4672676,nm2482152"
tt1698499,5.9,299,nm3336924,nm3336924
tt1698653,3.5,101,nm0752244,"nm0060712,nm0752244"
tt1699518,6.6,4346,nm0669704,"nm0094726,nm0669704,nm0377534,nm0388293"
tt1700415,6.7,75,"nm1245560,nm1779355",nm1360135
tt1701990,5.8,14221,nm0994538,"nm0994538,nm1792363"
tt1706462,5.8,60,nm0271685,"nm0271685,nm1331687,nm1342890"
tt1706679,6.5,127,"nm2733360,nm2735980","nm2733360,nm2735980,nm3239219"
tt1708483,5.7,242,nm2435980,nm2435980
tt1710459,6.7,29,nm3505522,"nm3827657,nm3505522"
tt1712071,5.9,17,"nm0343948,nm0416486","nm0416486,nm1100677"
tt1712086,6.8,67,nm3294354,"nm3294354,nm3995506"
tt1712175,6.1,738,nm0326558,nm0803461
tt1712178,7.7,29,nm0011949,nm0011950
tt1712537,5.7,7,"nm0499777,nm0487844","nm0487844,nm0499777"
tt1715805,6.0,23,nm3428867,nm3428867
tt1718847,6.5,502,nm4056433,nm4055787
tt1718903,5.7,8415,"nm2791932,nm2790431",nm1318188
tt1718924,6.5,8355,nm0931251,nm4057793
tt1719540,7.2,97,nm1599075,nm1599075
tt1720263,6.5,741,nm1408290,"nm1031115,nm1408290"
tt1722441,5.1,181,nm0890060,"nm3406353,nm0890060"
tt1722516,5.5,150,nm0405578,"nm0405578,nm2041533"
tt1723049,5.5,6,nm3371866,nm3371866
tt1724597,6.4,1767,nm0097517,"nm0114226,nm0839503,nm0792202"
tt1724970,5.3,15253,nm2880943,nm2880943
tt1724980,7.2,14,nm4075424,nm4075424
tt1725104,5.0,16,"nm3731749,nm4043402","nm4043402,nm3731749"
tt1725131,5.4,17,nm3191889,nm3191889
tt1727250,4.4,98,nm2651586,"nm4083570,nm2651586,nm3040914"
tt1727360,5.9,2262,nm1827689,nm1827689
tt1727381,5.6,221,nm2025001,nm2025001
tt1727491,5.7,326,nm1286067,"nm1286067,nm2793843,nm2105509,nm4082873"
tt1727816,5.7,1900,nm1857340,"nm3838717,nm0125433"
tt1727854,7.6,58,nm3369418,nm3369418
tt1729536,8.0,5,nm3985711,nm3985711
tt1730294,4.6,880,nm0437802,"nm0560364,nm4093483"
tt1730324,8.1,12,nm4092514,nm4092514
tt1734122,3.6,903,nm1190282,"nm2217708,nm1190282"
tt1734175,7.8,13,nm0918513,"nm0918513,nm3755973"
tt1734582,4.3,1785,nm1237224,"nm1237224,nm1344786,nm1656923"
tt1734589,5.7,1190,nm1732720,"nm2005369,nm4103531,nm1732720"
tt1735478,8.5,57,"nm1188572,nm0789461",nm0789461
tt1736560,2.7,11,nm3703975,nm4108674
tt1736669,7.2,6,nm3704275,nm4108607
tt1738298,3.2,588,nm0661345,"nm0661345,nm0070380,nm0767586,nm1201108,nm0690390"
tt1743708,5.0,111,nm1212770,"nm1045417,nm0215853,nm1212770"
tt1743720,6.6,14214,nm1041597,"nm2505733,nm1041597"
tt1743993,5.4,4332,nm1425041,nm1425041
