tconst,averagerating,numvotes,directors,writers
tt2636522,6.9,6274,nm2084813,"nm2084813,nm2087328,nm2765568"
tt2638456,5.3,15,nm0994330,nm0994330
tt2639098,6.4,7,nm5483022,nm5483022
tt2639254,6.5,18290,nm0000614,"nm0110591,nm0214255,nm0000614"
tt2642128,3.2,11,nm2656809,nm0589188
tt2647472,5.9,18,"nm0382569,nm1735581","nm0382569,nm1735581"
tt2657944,6.3,12,nm2013392,nm5491310
tt2660260,5.9,20,nm3355602,nm3355602
tt2664680,4.9,42,nm1547925,nm1547925
tt2668926,6.8,201,nm2538739,nm5225445
tt2670524,6.1,327,nm2639503,nm2639503
tt2670824,3.2,114,nm0473014,nm0473014
tt2671420,5.5,40,nm2777927,nm2777927
tt2675436,8.9,14,nm4144675,nm5505407
tt2679710,5.6,8,nm1802674,"nm0159262,nm1802674"
tt2690718,4.9,306,nm3028737,nm3028737
tt2700114,5.4,93,nm0757081,"nm1593790,nm0757081"
tt2701390,6.4,139,nm5518082,"nm5518632,nm0397933,nm5518082"
tt2701772,4.4,1098,nm3419080,"nm3419080,nm2326370,nm5296721"
tt2706264,5.3,382,nm0698184,"nm2170955,nm2284321,nm1399170"
tt2707804,5.6,109,nm3860366,"nm3860366,nm2964952"
tt2712658,3.1,10,nm4880436,"nm5527647,nm4880436,nm5527826"
tt2712758,4.6,321,nm0534803,nm0534803
tt2713180,7.6,381993,nm0043742,nm0043742
tt2716482,7.1,10,nm1127105,nm1127105
tt2718440,6.1,7777,nm5532666,"nm1918877,nm5532666"
tt2719096,3.0,236,nm0873608,"nm5634806,nm1639986,nm0873608"
tt2719760,6.8,65,nm1903742,nm1903742
tt2720764,5.5,174,nm2272880,nm2360523
tt2721152,2.8,558,nm0040630,nm0040630
tt2721540,6.0,26,nm1954382,nm1954382
tt2724304,5.1,333,nm1641532,"nm2798718,nm4214454"
tt2724790,7.1,106,nm1519363,nm2085848
tt2727882,6.1,12,nm5541436,nm5541436
tt2728286,6.5,51,nm0235238,"nm0235238,nm5540391,nm5541309"
tt2734152,8.5,27,nm5544285,"nm5544735,nm5544285"
tt2739960,8.4,16,nm2749852,nm3717974
tt2741222,6.4,9,nm0317815,nm0317815
tt2752220,7.7,6,nm0798793,nm0798793
tt2752246,5.9,13,nm1013712,nm1013712
tt2753800,6.9,17,nm3668345,"nm5558733,nm3668345"
tt2756602,5.5,8,nm3650958,nm5194272
tt2757396,8.7,6,nm0456706,"nm0960992,nm0318816"
tt2759292,6.2,96,nm3474435,"nm3474435,nm1616192,nm2049516,nm3524943"
tt2760634,6.3,2774,nm0018132,nm0018132
tt2762768,5.6,8,nm0353863,"nm5563992,nm5563860,nm3753502"
tt2771926,6.4,241,nm5575109,nm5575109
tt2772774,7.1,31,nm3494904,nm3494904
tt2773822,5.0,14,nm5573144,nm5573889
tt2780236,6.0,8,nm0587053,"nm0587053,nm5574814"
tt2784274,6.8,13,nm3417987,nm3417987
tt2790220,6.6,22,nm0142300,nm1643094
tt2793930,7.2,2459,nm1212514,"nm1212514,nm5647217,nm0707349"
tt2798472,5.7,32,nm2542263,nm2542263
tt2800002,7.4,5,"nm2662620,nm5600325",nm2662620
tt2800356,4.3,130,nm0694946,"nm0678963,nm7694736,nm0304095,nm7373467,nm0694946,nm0903830"
tt2806550,6.8,33,"nm5599724,nm1037668","nm1037668,nm5599724"
tt2814998,6.5,42,"nm1501217,nm0218609,nm6049591,nm0527963","nm6049591,nm6049592,nm1501217,nm0527963"
tt2818528,5.3,23,nm4204678,nm4204678
tt2819948,7.4,99,nm0519961,"nm1050146,nm0519961"
tt2822280,5.6,139,nm2808114,nm3598225
tt2823664,7.6,15,nm0007775,"nm1559043,nm0422357,nm0007775"
tt2823886,7.3,10,nm3311490,nm3311490
tt2827050,7.0,15,nm1745298,"nm1745298,nm0122428"
tt2827708,6.9,456,nm1703817,"nm2206548,nm1703817"
tt2827908,7.7,324,nm0819011,nm0819011
tt2831172,8.4,23,nm1069867,nm5619000
tt2836202,5.5,1206,nm1845013,"nm1845013,nm3223036"
tt2837694,6.6,23,nm5622738,"nm5622479,nm5622738,nm6344737"
tt2839312,4.0,281,nm2829296,nm2829296
tt2843896,7.3,10,"nm4686333,nm5626054",nm4686333
tt2845578,3.9,656,nm4230495,"nm0330751,nm4230495"
tt2845780,8.3,727,"nm1632985,nm0956051,nm0115568,nm1626428,nm1553346","nm0115568,nm1553346,nm1626428,nm1632985,nm0956051"
tt2848070,5.8,275,nm0210948,"nm1397289,nm0210948"
tt2848292,6.4,130692,nm0006969,"nm0134224,nm3015467"
tt2855648,7.7,20876,nm1999473,"nm2009626,nm4962323,nm5812265,nm1847980"
tt2856874,2.7,29,nm1515581,nm5636290
